,Recon Loss,Learning Rate,DetEval,batch size,hidden size,latent size,fixed variance,dropout rate,L2 weight,noise layer std,optimizer,nonlinearity,residual user info,RMSE
0,MSE,5e-05,False,128.0,4096.0,512.0,0.0,0.5,1e-05,0.1,Adam,LeakyRelu,True,1.2171422243118286
1,MSE,1e-05,False,32.0,4096.0,1024.0,0.3,0.0,0.0,0.5,RMSProp,Tanh,True,0.9692291617393494
2,MSE,5e-05,True,32.0,2048.0,2048.0,0.5,0.1,0.0,0.1,Adam,Tanh,True,0.7937484383583069
3,Likelihood,5e-05,True,64.0,1024.0,512.0,0.1,0.3,0.0,0.0,Adagrad,Relu,True,1.7282562255859375
4,MSE,0.0001,True,64.0,2048.0,512.0,0.5,0.3,0.0001,0.1,Adam,Relu,True,1.2143853902816772
5,Likelihood,1e-05,True,128.0,2048.0,1024.0,0.1,0.3,0.0,0.5,RMSProp,Relu,True,1.3054262399673462
6,Likelihood,5e-05,False,32.0,2048.0,1024.0,0.1,0.5,0.0001,0.3,Adam,Relu,True,1.2134251594543457
7,Likelihood,5e-05,True,128.0,2048.0,2048.0,0.1,0.3,0.001,0.1,Adam,LeakyRelu,False,1.2771989107131958
8,Likelihood,5e-05,False,128.0,1024.0,2048.0,0.0,0.3,0.0,0.0,Adagrad,Relu,True,1.903104543685913
9,Likelihood,0.0001,False,64.0,2048.0,1024.0,0.0,0.1,0.0,0.0,Adagrad,LeakyRelu,True,1.3332840204238892
10,Likelihood,5e-05,True,64.0,1024.0,512.0,0.5,0.3,0.001,0.3.1,Adam,Sigmoid,True.1,1.22557532787323
11,Likelihood,0.0001,True,64.0,1024.0,2048.0,0.1,0.5,0.0001,0.1,Adam,Tanh,True,1.0196073055267334
12,Likelihood,1e-05,True,128.0,1024.0,512.0,0.3,0.5,0.0,0.0,RMSProp,Sigmoid,False,1.2639122009277344
13,Likelihood,1e-05,False,32.0,1024.0,1024.0,0.3,0.1,0.0,0.3,RMSProp,LeakyRelu,True,1.1822361946105957
14,Likelihood,0.0001,False,128.0,2048.0,1024.0,0.3,0.3,0.001,0.1,Adam,Relu,True,1.1618163585662842
15,MSE,0.0001,True,128.0,4096.0,512.0,0.5,0.0,1e-05,0.3,Adam,Tanh,True,0.7679510712623596
16,Likelihood,5e-05,False,32.0,1024.0,2048.0,0.0,0.5,0.0,0.3,Adam,Relu,False,1.360386848449707
17,Likelihood,5e-05,True,64.0,4096.0,1024.0,0.5,0.3,0.0,0.5,Adagrad,Sigmoid,False,1.330544114112854
18,Likelihood,0.0001,False,32.0,1024.0,2048.0,0.5,0.3,0.0,0.5,Adam,Relu,False,1.2277779579162598
19,Likelihood,0.0001,False,32.0,4096.0,1024.0,0.5,0.0,1e-05,0.3,Adam,Sigmoid,False,1.173586368560791
20,MSE,0.0001,True,128.0,2048.0,1024.0,0.1,0.1,0.0,0.5,Adagrad,Relu,True,1.3624565601348877
21,MSE,1e-05,True,64.0,1024.0,512.0,0.5,0.0,0.0,0.0,RMSProp,Tanh,True,1.1250613927841189
22,Likelihood,5e-05,True,128.0,4096.0,512.0,0.0,0.5,0.0,0.0,Adagrad,LeakyRelu,False,1.4609586000442505
23,Likelihood,0.0001,False,128.0,2048.0,2048.0,0.1,0.1,0.001,0.0,Adam,LeakyRelu,False,1.2067146301269531
24,Likelihood,0.0001,False,64.0,1024.0,2048.0,0.5,0.0,1e-05,0.3,Adam,Sigmoid,False,1.2356226444244385
25,Likelihood,0.0001,False,64.0,2048.0,2048.0,0.5,0.0,0.0,0.5,Adagrad,Relu,False,1.4056956768035889
26,MSE,0.0001,True,64.0,1024.0,1024.0,0.1,0.1,0.0,0.0,Adagrad,Sigmoid,True,1.341731309890747
27,MSE,1e-05,False,64.0,1024.0,512.0,0.3,0.3,0.0,0.0,RMSProp,Sigmoid,False,1.2630140781402588
28,Likelihood,5e-06,True,128.0,2048.0,512.0,0.0,0.1,0.0,0.0,RMSProp,Tanh,True,1.1899590492248535
29,Likelihood,5e-06,False,64.0,1024.0,512.0,0.0,0.0,0.0,0.3,RMSProp,LeakyRelu,False,1.2123712301254272
30,MSE,0.0001,False,128.0,2048.0,1024.0,0.0,0.5,0.0001,0.0,Adam,Tanh,False,0.8972142338752747
31,Likelihood,1e-05,True,32.0,2048.0,512.0,0.1,0.5,0.0,0.1,RMSProp,Sigmoid,True,1.1902347803115845
32,MSE,5e-05,False,32.0,2048.0,2048.0,0.3,0.5,0.0,0.3,Adagrad,Sigmoid,False,1.298819065093994
33,MSE,0.0001,False,64.0,2048.0,2048.0,0.1,0.3,0.001,0.1,Adam,Sigmoid,True,1.1774389743804932
34,Likelihood,0.0001,False,32.0,4096.0,2048.0,0.3,0.3,0.0,0.3,Adagrad,LeakyRelu,True,1.3713032007217407
35,MSE,5e-05,True,128.0,1024.0,2048.0,0.3,0.5,0.0001,0.1,Adam,Relu,False,1.36897873878479
36,MSE,5e-05,True,64.0,1024.0,512.0,0.3,0.5,1e-05,0.0,Adam,Sigmoid,True,1.1851608753204346
37,Likelihood,5e-05,False,32.0,2048.0,1024.0,0.0,0.5,0.0,0.0,Adam,LeakyRelu,False,1.2007688283920288
38,Likelihood,0.0001,False,32.0,4096.0,1024.0,0.0,0.5,0.0,0.1,Adagrad,Relu,False,1.437253475189209
39,Likelihood,0.0001,True,128.0,4096.0,512.0,0.0,0.5,0.0,0.0,Adagrad,Tanh,True,1.299062967300415
40,MSE,0.0001,True,64.0,4096.0,1024.0,0.3,0.1,0.0,0.5,Adagrad,Tanh,False,1.1636207103729248
41,Likelihood,5e-05,True,128.0,4096.0,512.0,0.0,0.5,0.0,0.3,Adagrad,LeakyRelu,True,2.0584068298339844
42,Likelihood,0.0001,False,64.0,2048.0,512.0,0.0,0.3,0.0,0.3,Adagrad,Relu,False,1.446538329124451
43,Likelihood,5e-05,False,32.0,2048.0,512.0,0.5,0.0,0.0,0.3,Adam,Sigmoid,False,1.1798135042190552
44,Likelihood,0.0001,True,32.0,4096.0,512.0,0.5,0.3,0.001,0.5,Adam,Tanh,False,0.8916123509407043
45,MSE,1e-05,False,32.0,2048.0,2048.0,0.1,0.5,0.0,0.3,RMSProp,LeakyRelu,True,1.187718152999878
46,Likelihood,5e-05,True,128.0,2048.0,512.0,0.3,0.1,0.0,0.5,Adam,Relu,False,1.186724066734314
47,Likelihood,1e-05,True,32.0,1024.0,2048.0,0.1,0.1,0.0,0.1,RMSProp,LeakyRelu,True,1.190616488456726
48,MSE,5e-05,True,128.0,4096.0,2048.0,0.0,0.1,0.0,0.0,Adagrad,Sigmoid,True,1.345726490020752
49,MSE,5e-05,True,32.0,1024.0,512.0,0.0,0.3,0.001,0.0,Adam,Tanh,False,0.854787290096283
50,Likelihood,0.0001,False,32.0,2048.0,1024.0,0.1,0.1,0.0,0.5,Adagrad,Sigmoid,True,1.299106240272522
51,Likelihood,1e-05,False,64.0,4096.0,2048.0,0.5,0.0,0.0,0.0,RMSProp,Tanh,True,0.7508482336997986
